[INFO] [launch]: All log files can be found below /home/booster/.ros/log/2026-04-18-14-06-59-164797-robot-4888
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [game_controller_node-1]: process started with pid [4971]
[game_controller_node-1] [INFO] [1776492474.549214574] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=70
[game_controller_node-1] [INFO] [1776492474.959068512] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=71
[game_controller_node-1] [INFO] [1776492475.580509926] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=72
[game_controller_node-1] [INFO] [1776492477.016813616] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=75
[game_controller_node-1] [INFO] [1776492478.032130208] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=77
[game_controller_node-1] [INFO] [1776492480.087925709] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=81
[game_controller_node-1] [INFO] [1776492480.489285269] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=82
[game_controller_node-1] [INFO] [1776492480.899011107] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=83
[game_controller_node-1] [INFO] [1776492481.514071716] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=84
[game_controller_node-1] [INFO] [1776492481.923175351] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=85
[game_controller_node-1] [INFO] [1776492482.951518440] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=87
[game_controller_node-1] [INFO] [1776492483.975729863] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=89
[game_controller_node-1] [INFO] [1776492484.379090225] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=90
[game_controller_node-1] [INFO] [1776492484.995043753] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=91
[game_controller_node-1] [INFO] [1776492486.018641319] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=93
[game_controller_node-1] [INFO] [1776492486.429172580] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=94
[game_controller_node-1] [INFO] [1776492488.067615820] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=97
[game_controller_node-1] [INFO] [1776492488.479753072] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=98
[game_controller_node-1] [INFO] [1776492488.886872871] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=99
[game_controller_node-1] [INFO] [1776492489.506204521] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=100
[game_controller_node-1] [INFO] [1776492489.909134208] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=101
[game_controller_node-1] [INFO] [1776492490.524061369] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=102
[game_controller_node-1] [INFO] [1776492490.935624551] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=103
[game_controller_node-1] [INFO] [1776492491.549226254] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=104
[game_controller_node-1] [INFO] [1776492491.958920257] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=105
[game_controller_node-1] [INFO] [1776492492.985147282] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=107
[game_controller_node-1] [INFO] [1776492493.391671543] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=108
[game_controller_node-1] [INFO] [1776492494.015030201] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=109
[game_controller_node-1] [INFO] [1776492494.417110834] [game_controller]: handle packet successfully ip=192.168.43.46, packet_number=110
